Date,DALMP,RT LMP,RT DAM Spread,RT>DAM,Day of week,Month,Season,DAM yesterday,DAM 7 days ago,DAM to DAM spread,Rolling 7d DAM mean,Rolling 7d RT DAM spread
1/1/2024,28.20,35.82,7.61,1,1,1,Winter,,,,,
1/2/2024,31.03,42.25,11.22,1,2,1,Winter,28.20,,2.83,,
1/3/2024,35.09,48.57,13.48,1,3,1,Winter,31.03,,4.06,,
1/4/2024,39.67,46.58,6.91,1,4,1,Winter,35.09,,4.58,,
1/5/2024,61.31,50.83,-10.48,0,5,1,Winter,39.67,,21.64,,
1/6/2024,50.36,48.57,-1.79,0,6,1,Winter,61.31,,-10.95,,
1/7/2024,44.89,42.81,-2.08,0,7,1,Winter,50.36,,-5.47,,
1/8/2024,45.84,47.38,1.54,1,1,1,Winter,44.89,28.20,0.95,41.51,3.55
1/9/2024,39.67,48.74,9.07,1,2,1,Winter,45.84,31.03,-6.16,44.03,2.68
1/10/2024,35.45,40.93,5.48,1,3,1,Winter,39.67,35.09,-4.22,45.26,2.38
1/11/2024,44.22,49.55,5.32,1,4,1,Winter,35.45,39.67,8.77,45.31,1.24
1/12/2024,42.12,34.73,-7.38,0,5,1,Winter,44.22,61.31,-2.11,45.96,1.01
1/13/2024,50.07,32.35,-17.72,0,6,1,Winter,42.12,50.36,7.95,43.22,1.45
1/14/2024,95.56,48.19,-47.37,0,7,1,Winter,50.07,44.89,45.49,43.18,-0.82
1/15/2024,159.08,134.86,-24.23,0,1,1,Winter,95.56,45.84,63.52,50.42,-7.29
1/16/2024,180.04,173.37,-6.66,0,2,1,Winter,159.08,39.67,20.95,66.60,-10.98
1/17/2024,186.82,181.36,-5.46,0,3,1,Winter,180.04,35.45,6.78,86.65,-13.22
1/18/2024,175.38,112.63,-62.74,0,4,1,Winter,186.82,44.22,-11.44,108.27,-14.79
1/19/2024,138.02,112.52,-25.50,0,5,1,Winter,175.38,42.12,-37.36,127.01,-24.51
1/20/2024,146.66,162.66,16.00,1,6,1,Winter,138.02,50.07,8.64,140.71,-27.10
1/21/2024,122.23,113.18,-9.05,0,7,1,Winter,146.66,95.56,-24.43,154.51,-22.28
1/22/2024,100.71,87.94,-12.77,0,1,1,Winter,122.23,159.08,-21.52,158.32,-16.81
1/23/2024,62.21,58.86,-3.35,0,2,1,Winter,100.71,180.04,-38.50,149.98,-15.17
1/24/2024,43.51,41.16,-2.35,0,3,1,Winter,62.21,186.82,-18.70,133.15,-14.70
1/25/2024,32.38,34.25,1.87,1,4,1,Winter,43.51,175.38,-11.13,112.67,-14.25
1/26/2024,31.85,33.00,1.16,1,5,1,Winter,32.38,138.02,-0.53,92.24,-5.02
1/27/2024,32.08,34.10,2.01,1,6,1,Winter,31.85,146.66,0.24,77.08,-1.21
1/28/2024,35.04,37.79,2.75,1,7,1,Winter,32.08,122.23,2.96,60.71,-3.21
1/29/2024,41.05,48.18,7.14,1,1,1,Winter,35.04,100.71,6.00,48.25,-1.52
1/30/2024,48.71,50.91,2.19,1,2,1,Winter,41.05,62.21,7.67,39.73,1.32
1/31/2024,42.64,42.22,-0.43,0,3,1,Winter,48.71,43.51,-6.07,37.80,2.11
2/1/2024,36.68,42.48,5.80,1,4,2,Winter,42.64,32.38,-5.97,37.68,2.38
2/2/2024,36.15,38.51,2.37,1,5,2,Winter,36.68,31.85,-0.53,38.29,2.95
2/3/2024,35.44,34.81,-0.62,0,6,2,Winter,36.15,32.08,-0.71,38.91,3.12
2/4/2024,35.35,38.58,3.23,1,7,2,Winter,35.44,35.04,-0.09,39.39,2.74
2/5/2024,39.53,40.15,0.62,1,1,2,Winter,35.35,41.05,4.18,39.43,2.81
2/6/2024,41.91,45.12,3.21,1,2,2,Winter,39.53,48.71,2.38,39.21,1.88
2/7/2024,44.13,42.13,-2.00,0,3,2,Winter,41.91,42.64,2.23,38.24,2.03
2/8/2024,32.78,26.93,-5.85,0,4,2,Winter,44.13,36.68,-11.36,38.45,1.80
2/9/2024,26.89,22.60,-4.29,0,5,2,Winter,32.78,36.15,-5.89,37.90,0.14
2/10/2024,23.30,27.92,4.62,1,6,2,Winter,26.89,35.44,-3.59,36.57,-0.81
2/11/2024,23.10,26.86,3.76,1,7,2,Winter,23.30,35.35,-0.20,34.84,-0.06
2/12/2024,27.42,31.77,4.35,1,1,2,Winter,23.10,39.53,4.32,33.09,0.01
2/13/2024,33.30,34.79,1.50,1,2,2,Winter,27.42,41.91,5.88,31.36,0.54
2/14/2024,42.01,45.00,2.99,1,3,2,Winter,33.30,44.13,8.71,30.13,0.30
2/15/2024,39.90,33.33,-6.57,0,4,2,Winter,42.01,32.78,-2.11,29.83,1.01
2/16/2024,28.73,32.59,3.86,1,5,2,Winter,39.90,26.89,-11.17,30.84,0.91
2/17/2024,28.62,30.05,1.42,1,6,2,Winter,28.73,23.30,-0.11,31.11,2.07
2/18/2024,27.30,24.40,-2.90,0,7,2,Winter,28.62,23.10,-1.32,31.87,1.61
2/19/2024,30.27,37.26,6.98,1,1,2,Winter,27.30,27.42,2.97,32.47,0.66
2/20/2024,31.35,35.79,4.44,1,2,2,Winter,30.27,33.30,1.07,32.88,1.04
2/21/2024,30.63,29.85,-0.78,0,3,2,Winter,31.35,42.01,-0.72,32.60,1.46
2/22/2024,26.76,26.98,0.22,1,4,2,Winter,30.63,39.90,-3.87,30.97,0.92
2/23/2024,27.60,24.67,-2.92,0,5,2,Winter,26.76,28.73,0.84,29.09,1.89
2/24/2024,28.99,26.78,-2.22,0,6,2,Winter,27.60,28.62,1.40,28.93,0.92
2/25/2024,29.84,26.19,-3.65,0,7,2,Winter,28.99,27.30,0.84,28.98,0.40
2/26/2024,30.20,29.29,-0.91,0,1,2,Winter,29.84,30.27,0.37,29.35,0.30
2/27/2024,26.23,19.63,-6.60,0,2,2,Winter,30.20,31.35,-3.97,29.34,-0.83
2/28/2024,22.74,27.66,4.92,1,3,2,Winter,26.23,30.63,-3.49,28.61,-2.41
